reliability_tier,source_metric,icc,baseline,beta,repetitions,estimable_both,strict_support_count,strict_support_rate,strict_wilson_95_low,strict_wilson_95_high,joint_support_count,joint_support_rate
high,distance_from_initialization_l2,0.99,B1_design,0.0,100,100,0,0.0,0.0,0.03699480747600191,0,0.0
high,distance_from_initialization_l2,0.99,B1_design,0.1,100,100,0,0.0,0.0,0.03699480747600191,0,0.0
high,distance_from_initialization_l2,0.99,B1_design,0.2,100,100,0,0.0,0.0,0.03699480747600191,0,0.0
high,distance_from_initialization_l2,0.99,B1_design,0.3,100,100,0,0.0,0.0,0.03699480747600191,0,0.0
high,distance_from_initialization_l2,0.99,B1_design,0.5,100,100,0,0.0,0.0,0.03699480747600191,0,0.0
high,distance_from_initialization_l2,0.99,B2_training_state,0.0,100,100,0,0.0,0.0,0.03699480747600191,0,0.0
high,distance_from_initialization_l2,0.99,B2_training_state,0.1,100,100,0,0.0,0.0,0.03699480747600191,0,0.0
high,distance_from_initialization_l2,0.99,B2_training_state,0.2,100,100,0,0.0,0.0,0.03699480747600191,0,0.0
high,distance_from_initialization_l2,0.99,B2_training_state,0.3,100,100,0,0.0,0.0,0.03699480747600191,0,0.0
high,distance_from_initialization_l2,0.99,B2_training_state,0.5,100,100,0,0.0,0.0,0.03699480747600191,0,0.0
high,distance_from_initialization_l2,0.99,B3_validation,0.0,100,100,0,0.0,0.0,0.03699480747600191,0,0.0
high,distance_from_initialization_l2,0.99,B3_validation,0.1,100,100,0,0.0,0.0,0.03699480747600191,0,0.0
high,distance_from_initialization_l2,0.99,B3_validation,0.2,100,100,0,0.0,0.0,0.03699480747600191,0,0.0
high,distance_from_initialization_l2,0.99,B3_validation,0.3,100,100,0,0.0,0.0,0.03699480747600191,0,0.0
high,distance_from_initialization_l2,0.99,B3_validation,0.5,100,100,0,0.0,0.0,0.03699480747600191,0,0.0
low,fim_erank,0.8300212312342845,B1_design,0.0,100,100,0,0.0,0.0,0.03699480747600191,0,0.0
low,fim_erank,0.8300212312342845,B1_design,0.1,100,100,0,0.0,0.0,0.03699480747600191,0,0.0
low,fim_erank,0.8300212312342845,B1_design,0.2,100,100,0,0.0,0.0,0.03699480747600191,0,0.0
low,fim_erank,0.8300212312342845,B1_design,0.3,100,100,1,0.01,0.0017673865655472645,0.0544875247609346,1,0.01
low,fim_erank,0.8300212312342845,B1_design,0.5,100,100,6,0.06,0.02778574526665662,0.12476968531222507,6,0.06
low,fim_erank,0.8300212312342845,B2_training_state,0.0,100,100,0,0.0,0.0,0.03699480747600191,0,0.0
low,fim_erank,0.8300212312342845,B2_training_state,0.1,100,100,0,0.0,0.0,0.03699480747600191,0,0.0
low,fim_erank,0.8300212312342845,B2_training_state,0.2,100,100,0,0.0,0.0,0.03699480747600191,0,0.0
low,fim_erank,0.8300212312342845,B2_training_state,0.3,100,100,0,0.0,0.0,0.03699480747600191,0,0.0
low,fim_erank,0.8300212312342845,B2_training_state,0.5,100,100,3,0.03,0.010254338223414816,0.08452078080402699,3,0.03
low,fim_erank,0.8300212312342845,B3_validation,0.0,100,100,0,0.0,0.0,0.03699480747600191,0,0.0
low,fim_erank,0.8300212312342845,B3_validation,0.1,100,100,0,0.0,0.0,0.03699480747600191,0,0.0
low,fim_erank,0.8300212312342845,B3_validation,0.2,100,100,0,0.0,0.0,0.03699480747600191,0,0.0
low,fim_erank,0.8300212312342845,B3_validation,0.3,100,100,0,0.0,0.0,0.03699480747600191,0,0.0
low,fim_erank,0.8300212312342845,B3_validation,0.5,100,100,5,0.05,0.02154336145631356,0.11175196527208817,5,0.05
median,gradient_norm,0.9646171784751439,B1_design,0.0,100,100,0,0.0,0.0,0.03699480747600191,0,0.0
median,gradient_norm,0.9646171784751439,B1_design,0.1,100,100,0,0.0,0.0,0.03699480747600191,0,0.0
median,gradient_norm,0.9646171784751439,B1_design,0.2,100,100,0,0.0,0.0,0.03699480747600191,0,0.0
median,gradient_norm,0.9646171784751439,B1_design,0.3,100,100,0,0.0,0.0,0.03699480747600191,0,0.0
median,gradient_norm,0.9646171784751439,B1_design,0.5,100,100,0,0.0,0.0,0.03699480747600191,0,0.0
median,gradient_norm,0.9646171784751439,B2_training_state,0.0,100,100,0,0.0,0.0,0.03699480747600191,0,0.0
median,gradient_norm,0.9646171784751439,B2_training_state,0.1,100,100,0,0.0,0.0,0.03699480747600191,0,0.0
median,gradient_norm,0.9646171784751439,B2_training_state,0.2,100,100,0,0.0,0.0,0.03699480747600191,0,0.0
median,gradient_norm,0.9646171784751439,B2_training_state,0.3,100,100,0,0.0,0.0,0.03699480747600191,0,0.0
median,gradient_norm,0.9646171784751439,B2_training_state,0.5,100,100,0,0.0,0.0,0.03699480747600191,0,0.0
median,gradient_norm,0.9646171784751439,B3_validation,0.0,100,100,0,0.0,0.0,0.03699480747600191,0,0.0
median,gradient_norm,0.9646171784751439,B3_validation,0.1,100,100,0,0.0,0.0,0.03699480747600191,0,0.0
median,gradient_norm,0.9646171784751439,B3_validation,0.2,100,100,0,0.0,0.0,0.03699480747600191,0,0.0
median,gradient_norm,0.9646171784751439,B3_validation,0.3,100,100,0,0.0,0.0,0.03699480747600191,0,0.0
median,gradient_norm,0.9646171784751439,B3_validation,0.5,100,100,0,0.0,0.0,0.03699480747600191,0,0.0
