baseline,metric,nuisance_model,status,configuration_units,residual_r,delta_mse,relative_mse_improvement
B1_design,prediction_confidence,polynomial_ridge,descriptive_underpowered,36,-0.5305019305019305,0.0005344020367588861,0.2657312016825356
B1_design,prediction_confidence,polynomial_ridge_interactions,descriptive_underpowered,36,-0.7624195624195624,0.0004520283003704266,0.25813136990187596
B1_design,prediction_entropy,polynomial_ridge,descriptive_underpowered,36,-0.018018018018018018,8.735824912953303e-05,0.043438854872004995
B1_design,prediction_entropy,polynomial_ridge_interactions,descriptive_underpowered,36,0.7655083655083657,0.00017144804881875117,0.09790563925382789
B1_design,prediction_margin,polynomial_ridge,descriptive_underpowered,36,-0.5539253539253539,0.0005558421372659442,0.2763922831905491
B1_design,prediction_margin,polynomial_ridge_interactions,descriptive_underpowered,36,-0.7621621621621621,0.00048279821943938484,0.2757025736396313
B1_design,gradient_norm,polynomial_ridge,descriptive_underpowered,36,0.25534105534105533,0.0002224093372826864,0.11059295510920765
B1_design,gradient_norm,polynomial_ridge_interactions,descriptive_underpowered,36,0.3137709137709138,0.0003030500121768869,0.17305711772447663
B1_design,empirical_fisher_trace,polynomial_ridge,descriptive_underpowered,36,0.2398970398970399,0.0004769213113700679,0.23714893368858694
B1_design,empirical_fisher_trace,polynomial_ridge_interactions,descriptive_underpowered,36,0.34491634491634493,0.0005528889416750195,0.3157279749989484
B1_design,fim_erank,polynomial_ridge,descriptive_underpowered,36,0.18867438867438868,1.204934253541982e-05,0.0059915308160890125
B1_design,fim_erank,polynomial_ridge_interactions,descriptive_underpowered,36,-0.433976833976834,0.0003281758861415807,0.18740528190174904
B1_design,fim_norm,polynomial_ridge,descriptive_underpowered,36,0.18867438867438868,1.204934253541982e-05,0.0059915308160890125
B1_design,fim_norm,polynomial_ridge_interactions,descriptive_underpowered,36,-0.433976833976834,0.0003281758861415807,0.18740528190174904
B1_design,feature_erank,polynomial_ridge,descriptive_underpowered,36,-0.25945945945945953,0.0005525049656514886,0.2747328759234876
B1_design,feature_erank,polynomial_ridge_interactions,descriptive_underpowered,36,-0.2344916344916345,0.0004397457842411211,0.25111742251915375
B1_design,parameter_l2,polynomial_ridge,descriptive_underpowered,36,-0.0913770913770914,-0.0002495526751516235,-0.12408996914256182
B1_design,parameter_l2,polynomial_ridge_interactions,descriptive_underpowered,36,-0.14414414414414414,-0.00023524111029025346,-0.1343347529495393
B1_design,distance_from_initialization_l2,polynomial_ridge,descriptive_underpowered,36,-0.2712998712998713,0.0003712184758950371,0.18458824050263564
B1_design,distance_from_initialization_l2,polynomial_ridge_interactions,descriptive_underpowered,36,-0.30167310167310174,6.35012118639438e-05,0.03626245258413355
B1_design,relative_distance_from_initialization,polynomial_ridge,descriptive_underpowered,36,-0.22419562419562422,0.0005582229717153175,0.2775761521800391
B1_design,relative_distance_from_initialization,polynomial_ridge_interactions,descriptive_underpowered,36,-0.01415701415701416,0.00014061687278309524,0.08029945464271404
B1_design,update_to_weight_ratio,polynomial_ridge,descriptive_underpowered,36,-0.2084942084942085,6.077362907784718e-06,0.003021966305257815
B1_design,update_to_weight_ratio,polynomial_ridge_interactions,descriptive_underpowered,36,0.01698841698841699,-0.00011089735682984171,-0.06332808501929148
B1_design,sharpness_random_perturbation,polynomial_ridge,descriptive_underpowered,36,-0.35109395109395114,0.00021338966088221183,0.10610792458196226
B1_design,sharpness_random_perturbation,polynomial_ridge_interactions,descriptive_underpowered,36,0.14234234234234233,0.00045751932427296003,0.2612670264989593
B1_design,random_metric,polynomial_ridge,descriptive_underpowered,36,0.09214929214929216,-6.344507968917678e-05,-0.031548040813803725
B1_design,random_metric,polynomial_ridge_interactions,descriptive_underpowered,36,-0.07490347490347489,-5.8024023887916654e-05,-0.03313469701152146
